time,temperature,tga,dtga,dtga_5
0,450.35,10.32687,-9.20E-05,-4.60E-04
5,450.85,10.32643,-8.80E-05,-4.40E-04
10,451.25,10.32595,-9.60E-05,-4.80E-04
15,451.65,10.3255,-9.00E-05,-4.50E-04
20,452.15,10.32502,-9.60E-05,-4.80E-04
25,452.55,10.3245,-1.04E-04,-5.20E-04
30,453.15,10.32399,-1.02E-04,-5.10E-04
35,453.25,10.32343,-1.12E-04,-5.60E-04
40,453.85,10.32293,-1.00E-04,-5.00E-04
45,454.15,10.32242,-1.02E-04,-5.10E-04
50,454.65,10.32191,-1.02E-04,-5.10E-04
55,454.95,10.32142,-9.80E-05,-4.90E-04
60,455.35,10.32086,-1.12E-04,-5.60E-04
65,455.85,10.32025,-1.22E-04,-6.10E-04
70,456.25,10.31968,-1.14E-04,-5.70E-04
75,456.65,10.31911,-1.14E-04,-5.70E-04
80,457.15,10.31859,-1.04E-04,-5.20E-04
85,457.45,10.31796,-1.26E-04,-6.30E-04
90,457.85,10.31737,-1.18E-04,-5.90E-04
95,458.35,10.31676,-1.22E-04,-6.10E-04
100,458.75,10.31617,-1.18E-04,-5.90E-04
105,459.35,10.31554,-1.26E-04,-6.30E-04
110,459.45,10.31492,-1.24E-04,-6.20E-04
115,459.85,10.31425,-1.34E-04,-6.70E-04
120,460.25,10.31358,-1.34E-04,-6.70E-04
125,460.75,10.31294,-1.28E-04,-6.40E-04
130,461.25,10.31221,-1.46E-04,-7.30E-04
135,461.75,10.31148,-1.46E-04,-7.30E-04
140,462.05,10.31077,-1.42E-04,-7.10E-04
145,462.35,10.31006,-1.42E-04,-7.10E-04
150,462.95,10.30931,-1.50E-04,-7.50E-04
155,463.35,10.30852,-1.58E-04,-7.90E-04
160,463.65,10.30764,-1.76E-04,-8.80E-04
165,464.15,10.30692,-1.44E-04,-7.20E-04
170,464.55,10.30606,-1.72E-04,-8.60E-04
175,464.95,10.30516,-1.80E-04,-9.00E-04
180,465.55,10.30439,-1.54E-04,-7.70E-04
185,466.05,10.30347,-1.84E-04,-9.20E-04
190,466.15,10.30256,-1.82E-04,-9.10E-04
195,466.65,10.30168,-1.76E-04,-8.80E-04
200,467.15,10.30068,-2.00E-04,-1.00E-03
205,467.35,10.2997,-1.96E-04,-9.80E-04
210,467.95,10.2987,-2.00E-04,-1.00E-03
215,468.25,10.29776,-1.88E-04,-9.40E-04
220,468.75,10.2968,-1.92E-04,-9.60E-04
225,469.05,10.2958,-2.00E-04,-1.00E-03
230,469.45,10.29482,-1.96E-04,-9.80E-04
235,470.05,10.29374,-2.16E-04,-0.00108
240,470.45,10.2927,-2.08E-04,-0.00104
245,470.65,10.2916,-2.20E-04,-0.0011
250,471.05,10.29033,-2.54E-04,-0.00127
255,471.55,10.28904,-2.58E-04,-0.00129
260,471.95,10.28781,-2.46E-04,-0.00123
265,472.65,10.28656,-2.50E-04,-0.00125
270,473.05,10.28527,-2.58E-04,-0.00129
275,473.35,10.28398,-2.58E-04,-0.00129
280,473.85,10.28271,-2.54E-04,-0.00127
285,474.35,10.28137,-2.68E-04,-0.00134
290,474.75,10.28011,-2.52E-04,-0.00126
295,474.95,10.27873,-2.76E-04,-0.00138
300,475.25,10.27735,-2.76E-04,-0.00138
305,475.65,10.27595,-2.80E-04,-0.0014
310,476.25,10.27448,-2.94E-04,-0.00147
315,476.55,10.27307,-2.82E-04,-0.00141
320,476.85,10.27163,-2.88E-04,-0.00144
325,477.35,10.27024,-2.78E-04,-0.00139
330,477.75,10.26874,-3.00E-04,-0.0015
335,478.15,10.2672,-3.08E-04,-0.00154
340,478.55,10.26567,-3.06E-04,-0.00153
345,479.15,10.26411,-3.12E-04,-0.00156
350,479.65,10.26246,-3.30E-04,-0.00165
355,479.95,10.26075,-3.42E-04,-0.00171
360,480.25,10.2591,-3.30E-04,-0.00165
365,480.65,10.25735,-3.50E-04,-0.00175
370,481.15,10.25561,-3.48E-04,-0.00174
375,481.65,10.25394,-3.34E-04,-0.00167
380,482.15,10.25217,-3.54E-04,-0.00177
385,482.35,10.25039,-3.56E-04,-0.00178
390,482.75,10.24854,-3.70E-04,-0.00185
395,483.25,10.24663,-3.82E-04,-0.00191
400,483.65,10.24466,-3.94E-04,-0.00197
405,484.15,10.2427,-3.92E-04,-0.00196
410,484.65,10.24064,-4.12E-04,-0.00206
415,484.95,10.23861,-4.06E-04,-0.00203
420,485.45,10.23655,-4.12E-04,-0.00206
425,485.95,10.23444,-4.22E-04,-0.00211
430,486.25,10.23239,-4.10E-04,-0.00205
435,486.65,10.23013,-4.52E-04,-0.00226
440,487.05,10.22791,-4.44E-04,-0.00222
445,487.35,10.22568,-4.46E-04,-0.00223
450,487.85,10.22341,-4.54E-04,-0.00227
455,488.35,10.22106,-4.70E-04,-0.00235
460,488.75,10.21879,-4.54E-04,-0.00227
465,489.25,10.21641,-4.76E-04,-0.00238
470,489.55,10.21404,-4.74E-04,-0.00237
475,489.95,10.21161,-4.86E-04,-0.00243
480,490.45,10.20913,-4.96E-04,-0.00248
485,490.75,10.20667,-4.92E-04,-0.00246
490,491.15,10.20415,-5.04E-04,-0.00252
495,491.65,10.20163,-5.04E-04,-0.00252
500,492.05,10.19906,-5.14E-04,-0.00257
505,492.35,10.19644,-5.24E-04,-0.00262
510,492.85,10.19379,-5.30E-04,-0.00265
515,493.45,10.19118,-5.22E-04,-0.00261
520,493.85,10.18851,-5.34E-04,-0.00267
525,494.05,10.18585,-5.32E-04,-0.00266
530,494.55,10.1832,-5.30E-04,-0.00265
535,494.95,10.1804,-5.60E-04,-0.0028
540,495.55,10.17769,-5.42E-04,-0.00271
545,495.85,10.17493,-5.52E-04,-0.00276
550,496.05,10.17212,-5.62E-04,-0.00281
555,496.35,10.16935,-5.54E-04,-0.00277
560,496.85,10.16645,-5.80E-04,-0.0029
565,497.25,10.16355,-5.80E-04,-0.0029
570,497.75,10.16071,-5.68E-04,-0.00284
575,498.25,10.15779,-5.84E-04,-0.00292
580,498.65,10.15491,-5.76E-04,-0.00288
585,499.05,10.15192,-5.98E-04,-0.00299
590,499.45,10.14896,-5.92E-04,-0.00296
595,500.05,10.14597,-5.98E-04,-0.00299
600,500.25,10.143,-5.94E-04,-0.00297
605,500.55,10.14002,-5.96E-04,-0.00298
610,501.15,10.13696,-6.12E-04,-0.00306
615,501.55,10.13389,-6.14E-04,-0.00307
620,501.85,10.13081,-6.16E-04,-0.00308
625,502.45,10.12774,-6.14E-04,-0.00307
630,502.85,10.12466,-6.16E-04,-0.00308
635,503.25,10.12153,-6.26E-04,-0.00313
640,503.75,10.11845,-6.16E-04,-0.00308
645,504.05,10.11527,-6.36E-04,-0.00318
650,504.55,10.11209,-6.36E-04,-0.00318
